"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"354539302","202","49","4069188238694","0"
"354539302","202","48","4069188238687","0"
"354539302","202","47","4069188238670","1"
"354539302","202","46","4069188238663","0"
"354539302","202","45","4069188238656","1"
"354539302","202","44","4069188238649","0"
"354539302","202","43","4069188238632","0"
"354539302","202","42","4069188238625","0"
"354539302","202","41","4069188238618","0"
"354539302","202","40","4069188238601","0"
"354539302","201","50","4069188238533","0"
"354539302","201","49","4069188238526","0"
"354539302","201","48","4069188238519","0"
"354539302","201","47","4069188238502","0"
"354539302","201","46","4069188238496","0"
"354539302","201","45","4069188238489","0"
"354539302","201","44","4069188238472","0"
"354539302","201","43","4069188238465","0"
"354539302","201","42","4069188238458","0"
"354539302","201","41","4069188238441","0"
"354539302","201","40","4069188238434","0"
"354539302","200","50","4069188238366","0"
"354539302","200","49","4069188238359","0"
"354539302","200","48","4069188238342","0"
"354539302","200","47","4069188238335","0"
"354539302","200","46","4069188238328","0"
"354539302","200","45","4069188238311","0"
"354539302","200","44","4069188238304","0"
"354539302","200","43","4069188238298","0"
"354539302","200","42","4069188238281","0"
"354539302","200","41","4069188238274","0"
"354539302","200","40","4069188238267","0"
"354539302","101","50","4069188238199","0"
"354539302","101","49","4069188238182","0"
"354539302","101","48","4069188238175","0"
"354539302","101","47","4069188238168","0"
"354539302","101","46","4069188238151","0"
"354539302","101","45","4069188238144","0"
"354539302","101","44","4069188238137","0"
"354539302","101","43","4069188238120","2"
"354539302","101","42","4069188238113","1"
"354539302","101","41","4069188238106","0"
"354539302","101","40","4069188238090","0"
"354539302","100","50","4069188238021","0"
"354539302","100","49","4069188238014","0"
"354539302","100","48","4069188238007","0"
"354539302","100","47","4069188237994","0"
"354539302","100","46","4069188237987","0"
"354539302","100","45","4069188237970","0"
"354539302","100","44","4069188237963","2"
"354539302","100","43","4069188237956","1"
"354539302","100","42","4069188237949","2"
"354539302","100","41","4069188237932","0"
"354539302","100","40","4069188237925","0"
"354539302","001","50","4069188237857","0"
"354539302","001","49","4069188237840","0"
"354539302","001","48","4069188237833","0"
"354539302","001","47","4069188237826","1"
"354539302","001","46","4069188237819","0"
"354539302","001","45","4069188237802","0"
"354539302","001","44","4069188237796","0"
"354539302","001","43","4069188237789","0"
"354539302","001","42","4069188237772","0"
"354539302","001","41","4069188237765","0"
"354539302","001","40","4069188237758","0"
"354539302","000","50","4069188237680","0"
"354539302","000","49","4069188237673","0"
"354539302","000","48","4069188237666","0"
"354539302","000","47","4069188237659","0"
"354539302","000","46","4069188237642","0"
"354539302","000","45","4069188237635","1"
"354539302","000","44","4069188237628","1"
"354539302","000","43","4069188237611","2"
"354539302","000","42","4069188237604","0"
"354539302","000","41","4069188237598","0"
"354539302","000","40","4069188237581","1"
"354536200","400","52","4067161183689","0"
"354536200","400","50","4067161183665","0"
"354536200","400","48","4067161183641","0"
"354536200","400","46","4067161183627","0"
"354536200","400","44","4067161183603","0"
"354536100","300","52","4067161183597","1"
"354536100","300","50","4067161183573","5"
"354536100","300","48","4067161183559","1"
"354536100","300","46","4067161183535","5"
"354536100","300","44","4067161183511","0"
"354536000","300","52","4067161183504","0"
"354536000","300","50","4067161183481","0"
"354536000","300","48","4067161183467","0"
"354536000","300","46","4067161183443","0"
"354536000","300","44","4067161183429","0"
"154532700","300","46","4067161183207","0"
"154532700","300","45","4067161183191","0"
"154532700","300","44","4067161183184","0"
"154532700","300","43","4067161183177","0"
"154532700","300","42","4067161183160","1"
"154532700","300","41","4067161183153","0"
"154532700","300","40","4067161183146","0"
"154532700","300","39","4067161183139","0"
"154532600","700","46","4067161183061","0"
"154532600","700","45","4067161183054","0"
"154532600","700","44","4067161183047","0"
"154532600","700","43","4067161183030","0"
"154532600","700","42","4067161183023","0"
"154532600","700","41","4067161183016","0"
"154532600","700","40","4067161183009","0"
"154532600","700","39","4067161182996","0"
"154532500","750","46","4067161182927","0"
"154532500","750","45","4067161182910","0"
"154532500","750","44","4067161182903","0"
"154532500","750","43","4067161182897","0"
"154532500","750","42","4067161182880","1"
"154532500","750","41","4067161182873","0"
"154532500","750","40","4067161182866","0"
"154532500","750","39","4067161182859","0"
"154532500","600","46","4067161182781","0"
"154532500","600","45","4067161182774","0"
"154532500","600","44","4067161182767","0"
"154532500","600","43","4067161182750","0"
"154532500","600","42","4067161182743","0"
"154532500","600","41","4067161182736","1"
"154532500","600","40","4067161182729","0"
"154532500","600","39","4067161182712","0"
"154532500","302","46","4067161182644","0"
"154532500","302","45","4067161182637","0"
"154532500","302","44","4067161182620","0"
"154532500","302","43","4067161182613","0"
"154532500","302","42","4067161182606","0"
"154532500","302","41","4067161182590","0"
"154532500","302","40","4067161182583","0"
"154532500","302","39","4067161182576","0"
"154532500","000","46","4067161182507","0"
"154532500","000","45","4067161182491","0"
"154532500","000","44","4067161182484","0"
"154532500","000","43","4067161182477","0"
"154532500","000","42","4067161182460","0"
"154532500","000","41","4067161182453","0"
"154532500","000","40","4067161182446","0"
"154532500","000","39","4067161182439","0"
"134107802","103","46","4067161181548","1"
"134107802","103","44","4067161181524","0"
"134107802","103","42","4067161181500","0"
"134107802","103","40","4067161181487","0"
"134107802","001","46","4067161181470","10"
"134107802","001","44","4067161181456","32"
"134107802","001","42","4067161181432","0"
"134107802","001","40","4067161181418","0"
"334106200","103","54","4067161179408","0"
"334106200","103","52","4067161179385","0"
"334106200","103","50","4067161179361","0"
"334106200","103","48","4067161179347","1"
"334106200","103","46","4067161179323","1"
"334106200","103","44","4067161179309","0"
"334106200","001","50","4067161179248","0"
"334106200","001","48","4067161179224","1"
"334106200","001","46","4067161179200","1"
"334106200","001","44","4067161179187","0"
"154531000","450","42","4067161179125","0"
"154531000","450","40","4067161179101","0"
"154530800","300","42","4067161179002","0"
"154530800","300","40","4067161178982","0"
"154530900","750","42","4067161178883","0"
"154530900","750","40","4067161178869","0"
"154530900","450","42","4067161178760","0"
"154530900","450","40","4067161178746","0"
"154530900","300","42","4067161178647","0"
"154530900","300","40","4067161178623","0"
"154530900","200","42","4067161178524","0"
"154530900","200","40","4067161178500","0"
"454525900","300","L","4067161178371","0"
"454525900","300","M","4067161178364","0"
"454525600","300","L","4067161178272","0"
"454525600","300","M","4067161178265","0"
"554530300","132","52","4067161177916","0"
"554530300","132","50","4067161177909","0"
"554530300","132","48","4067161177893","0"
"554530300","132","46","4067161177886","0"
"554530200","670","52","4067161177732","0"
"554530200","670","50","4067161177725","0"
"554530200","670","48","4067161177718","0"
"554530200","670","46","4067161177701","0"
"554530200","135","52","4067161177558","0"
"554530200","135","50","4067161177541","0"
"554530200","135","48","4067161177534","0"
"554530200","135","46","4067161177527","0"
"554530200","105","52","4067161177374","0"
"554530200","105","50","4067161177367","0"
"554530200","105","48","4067161177350","0"
"554530200","105","46","4067161177343","0"
"454529600","666","os","4067161176841","0"
"454529600","491","os","4067161176834","0"
"454529600","370","os","4067161176827","0"
"454529500","370","os","4067161176810","0"
"454529500","132","os","4067161176803","0"
"454529400","666","os","4067161176797","0"
"454529400","491","os","4067161176780","0"
"454529400","370","os","4067161176773","0"
"454529300","370","os","4067161176766","0"
"454529300","132","os","4067161176759","0"
"454521300","690","L","4067161176681","0"
"454521300","690","M","4067161176674","0"
"454521300","489","L","4067161176599","0"
"454521300","489","M","4067161176582","0"
"454521300","373","L","4067161176506","0"
"454521300","373","M","4067161176490","0"
"454521300","162","L","4067161176414","0"
"454521300","162","M","4067161176407","0"
"454521300","108","L","4067161176322","0"
"454521300","108","M","4067161176315","0"
"454521200","783","L","4067161176230","0"
"454521200","783","M","4067161176223","0"
"454521200","690","L","4067161176148","0"
"454521200","690","M","4067161176131","0"
"454521200","664","L","4067161176056","0"
"454521200","664","M","4067161176049","0"
"454521200","540","L","4067161175967","0"
"454521200","540","M","4067161175950","0"
"454521200","489","L","4067161175875","0"
"454521200","489","M","4067161175868","0"
"454521200","373","L","4067161175783","0"
"454521200","373","M","4067161175776","0"
"454521200","162","L","4067161175691","0"
"454521200","162","M","4067161175684","0"
