"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"334105700","100","44","4064813698331","1"
"334105600","800","50","4064813698300","0"
"334105600","800","48","4064813698287","0"
"334105600","800","46","4064813698263","0"
"334105600","800","44","4064813698249","0"
"334105600","115","52","4064813698232","1"
"334105600","115","50","4064813698218","0"
"334105600","115","48","4064813698195","0"
"334105600","115","46","4064813698171","0"
"334105600","115","44","4064813698157","0"
"334105600","001","50","4064813698126","0"
"334105600","001","48","4064813698102","2"
"334105600","001","46","4064813698089","0"
"334105600","001","44","4064813698065","1"
"334105600","000","52","4064813698058","0"
"334105600","000","50","4064813698034","0"
"334105600","000","48","4064813698010","1"
"334105600","000","46","4064813697990","0"
"334105600","000","44","4064813697976","1"
"134120400","750","46","4064813697952","0"
"134120400","750","45","4064813697945","0"
"134120400","750","44","4064813697938","0"
"134120400","750","43","4064813697921","0"
"134120400","750","42","4064813697914","0"
"134120400","750","41","4064813697907","0"
"134120400","750","40","4064813697891","0"
"134120400","750","39","4064813697884","0"
"134120300","100","46","4064813697754","0"
"134120300","100","45","4064813697747","0"
"134120300","100","44","4064813697730","0"
"134120300","100","43","4064813697723","0"
"134120300","100","42","4064813697716","0"
"134120300","100","41","4064813697709","0"
"134120300","100","40","4064813697693","0"
"134120300","100","39","4064813697686","0"
"134120300","100","38","4064813697679","0"
"134120200","000","46","4064813697556","0"
"134120200","000","45","4064813697549","0"
"134120200","000","44","4064813697532","0"
"134120200","000","43","4064813697525","0"
"134120200","000","42","4064813697518","0"
"134120200","000","41","4064813697501","0"
"134120200","000","40","4064813697495","0"
"134120200","000","39","4064813697488","0"
"134120200","000","38","4064813697471","0"
"134120100","103","46","4064813697389","0"
"134120100","103","45","4064813697372","0"
"134120100","103","44","4064813697365","0"
"134120100","103","43","4064813697358","0"
"134120100","103","42","4064813697341","0"
"134120100","103","41","4064813697334","0"
"134120100","103","40","4064813697327","0"
"134120100","103","39","4064813697310","0"
"134120000","102","46","4064813697228","0"
"134120000","102","45","4064813697211","0"
"134120000","102","44","4064813697204","0"
"134120000","102","43","4064813697198","0"
"134120000","102","42","4064813697181","0"
"134120000","102","41","4064813697174","0"
"134120000","102","40","4064813697167","0"
"134120000","102","39","4064813697150","0"
"134119900","102","44","4064813697143","0"
"134119900","102","43","4064813697136","0"
"134119900","102","42","4064813697129","0"
"134119900","102","41","4064813697112","0"
"134119900","102","40","4064813697105","0"
"134119900","102","39","4064813697099","0"
"134119800","000","46","4064813696979","0"
"134119800","000","45","4064813696962","0"
